i,j,x_upper,y_upper,x_lower,y_lower
0,4,3736.07,1167.7,3739.65,1147.67
0,4,3738.14,1168.33,3741.81,1147.79
0,4,3740.29,1168.96,3744.04,1147.95
0,4,3742.51,1169.59,3746.34,1148.13
0,4,3744.8,1170.2,3748.71,1148.35
0,4,3747.16,1170.81,3751.13,1148.6
0,4,3749.59,1171.41,3753.62,1148.88
0,4,3752.08,1171.99,3756.16,1149.19
0,4,3754.63,1172.57,3758.75,1149.53
0,4,3757.24,1173.14,3761.4,1149.9
0,4,3759.91,1173.7,3764.09,1150.3
0,4,3762.63,1174.24,3766.83,1150.73
0,4,3765.4,1174.78,3769.61,1151.19
0,4,3768.22,1175.3,3772.44,1151.67
0,4,3771.08,1175.81,3775.3,1152.19
0,4,3773.98,1176.31,3778.2,1152.72
0,4,3776.92,1176.8,3781.12,1153.28
0,4,3779.9,1177.28,3784.08,1153.87
0,4,3782.91,1177.74,3787.07,1154.47
0,4,3785.95,1178.19,3790.08,1155.1
0,4,3789.01,1178.64,3793.1,1155.75
0,4,3792.1,1179.06,3796.15,1156.42
0,4,3795.21,1179.48,3799.21,1157.1
0,4,3798.34,1179.89,3802.28,1157.8
0,4,3801.47,1180.28,3805.36,1158.52
0,4,3804.62,1180.66,3808.45,1159.25
0,4,3807.78,1181.04,3811.54,1160
0,4,3810.94,1181.4,3814.63,1160.75
0,4,3814.1,1181.75,3817.71,1161.52
0,4,3817.25,1182.09,3820.79,1162.29
0,4,3820.4,1182.42,3823.86,1163.07
0,4,3823.54,1182.74,3826.92,1163.86
0,4,3826.67,1183.05,3829.96,1164.66
0,4,3829.78,1183.34,3832.98,1165.45
0,4,3832.88,1183.63,3835.98,1166.25
0,4,3835.95,1183.91,3838.96,1167.05
0,4,3838.99,1184.18,3841.91,1167.86
0,4,3842.01,1184.44,3844.83,1168.66
0,4,3844.99,1184.69,3847.71,1169.45
0,4,3847.94,1184.94,3850.56,1170.25
0,4,3850.85,1185.17,3853.38,1171.04
0,4,3853.72,1185.39,3856.15,1171.82
0,4,3856.55,1185.61,3858.87,1172.6
0,4,3859.33,1185.81,3861.55,1173.37
0,4,3862.06,1186.01,3864.18,1174.13
0,4,3864.74,1186.2,3866.76,1174.88
0,4,3867.36,1186.38,3869.28,1175.62
0,4,3869.92,1186.55,3871.75,1176.35
0,4,3872.43,1186.72,3874.16,1177.06
0,4,3874.87,1186.87,3876.5,1177.76
0,4,3877.25,1187.02,3878.78,1178.44
0,4,3879.55,1187.16,3880.99,1179.11
0,4,3881.79,1187.29,3883.14,1179.76
0,4,3883.96,1187.42,3885.21,1180.4
0,4,3886.05,1187.53,3887.21,1181.01
0,4,3888.06,1187.64,3889.14,1181.6
0,4,3889.99,1187.75,3890.99,1182.18
0,4,3891.85,1187.84,3892.76,1182.73
0,4,3893.62,1187.93,3894.45,1183.26
0,4,3895.3,1188.02,3896.06,1183.76
0,4,3896.9,1188.09,3897.59,1184.24
0,4,3898.41,1188.16,3899.03,1184.7
0,4,3899.83,1188.23,3900.38,1185.13
0,4,3901.16,1188.29,3901.65,1185.53
0,4,3902.39,1188.34,3902.83,1185.91
0,4,3903.53,1188.39,3903.91,1186.26
0,4,3904.58,1188.44,3904.91,1186.58
0,4,3905.53,1188.48,3905.82,1186.87
0,4,3906.38,1188.51,3906.63,1187.14
0,4,3907.14,1188.54,3907.35,1187.37
0,4,3907.79,1188.57,3907.97,1187.57
0,4,3908.35,1188.59,3908.5,1187.75
0,4,3908.8,1188.6,3908.93,1187.89
0,4,3909.16,1188.62,3909.27,1188
0,4,3909.41,1188.63,3909.51,1188.08
0,4,3909.57,1188.63,3909.66,1188.12
0,4,3909.62,1188.64,3909.71,1188.14
0,5,4212.03,1160.15,4212.03,1160.15
0,5,4212.06,1160.72,4212.11,1159.59
0,5,4212.19,1161.27,4212.28,1159.05
0,5,4212.43,1161.83,4212.55,1158.51
0,5,4212.76,1162.38,4212.92,1157.99
0,5,4213.19,1162.92,4213.39,1157.47
0,5,4213.72,1163.46,4213.96,1156.98
0,5,4214.35,1164,4214.63,1156.49
0,5,4215.08,1164.53,4215.39,1156.02
0,5,4215.91,1165.05,4216.26,1155.56
0,5,4216.83,1165.56,4217.22,1155.12
0,5,4217.85,1166.07,4218.27,1154.69
0,5,4218.97,1166.56,4219.42,1154.27
0,5,4220.17,1167.05,4220.66,1153.88
0,5,4221.48,1167.53,4221.99,1153.5
0,5,4222.87,1167.99,4223.42,1153.13
0,5,4224.35,1168.45,4224.93,1152.79
0,5,4225.92,1168.89,4226.53,1152.46
0,5,4227.58,1169.32,4228.22,1152.16
0,5,4229.32,1169.74,4229.98,1151.87
0,5,4231.15,1170.14,4231.84,1151.6
0,5,4233.06,1170.53,4233.77,1151.36
0,5,4235.05,1170.9,4235.78,1151.13
0,5,4237.11,1171.26,4237.87,1150.93
0,5,4239.26,1171.6,4240.03,1150.75
0,5,4241.47,1171.92,4242.26,1150.59
0,5,4243.76,1172.23,4244.56,1150.45
0,5,4246.11,1172.52,4246.93,1150.34
0,5,4248.54,1172.79,4249.37,1150.24
0,5,4251.02,1173.04,4251.87,1150.18
0,5,4253.57,1173.28,4254.43,1150.13
0,5,4256.18,1173.5,4257.04,1150.11
0,5,4258.84,1173.69,4259.72,1150.1
0,5,4261.56,1173.87,4262.44,1150.13
0,5,4264.33,1174.04,4265.21,1150.17
0,5,4267.15,1174.18,4268.03,1150.23
0,5,4270.01,1174.31,4270.9,1150.32
0,5,4272.91,1174.41,4273.8,1150.43
0,5,4275.86,1174.5,4276.74,1150.55
0,5,4278.84,1174.58,4279.72,1150.7
0,5,4281.85,1174.63,4282.73,1150.87
0,5,4284.9,1174.67,4285.77,1151.05
0,5,4287.97,1174.7,4288.84,1151.25
0,5,4291.07,1174.71,4291.93,1151.47
0,5,4294.19,1174.7,4295.04,1151.71
0,5,4297.32,1174.68,4298.16,1151.96
0,5,4300.48,1174.65,4301.3,1152.23
0,5,4303.64,1174.6,4304.45,1152.51
0,5,4306.81,1174.54,4307.61,1152.8
0,5,4309.99,1174.47,4310.78,1153.11
0,5,4313.16,1174.38,4313.94,1153.43
0,5,4316.34,1174.29,4317.1,1153.75
0,5,4319.51,1174.19,4320.26,1154.09
0,5,4322.68,1174.07,4323.41,1154.44
0,5,4325.83,1173.95,4326.54,1154.79
0,5,4328.97,1173.82,4329.66,1155.15
0,5,4332.1,1173.68,4332.77,1155.52
0,5,4335.2,1173.54,4335.85,1155.9
0,5,4338.28,1173.39,4338.91,1156.27
0,5,4341.33,1173.23,4341.94,1156.66
0,5,4344.35,1173.07,4344.95,1157.04
0,5,4347.34,1172.9,4347.92,1157.43
0,5,4350.3,1172.73,4350.85,1157.82
0,5,4353.21,1172.55,4353.74,1158.21
0,5,4356.09,1172.37,4356.6,1158.6
0,5,4358.92,1172.19,4359.4,1158.99
0,5,4361.7,1172.01,4362.17,1159.38
0,5,4364.43,1171.82,4364.88,1159.76
0,5,4367.11,1171.64,4367.53,1160.15
0,5,4369.73,1171.45,4370.13,1160.53
0,5,4372.29,1171.26,4372.68,1160.9
0,5,4374.8,1171.08,4375.16,1161.27
0,5,4377.24,1170.89,4377.58,1161.64
0,5,4379.61,1170.71,4379.93,1162
0,5,4381.91,1170.52,4382.22,1162.35
0,5,4384.15,1170.34,4384.43,1162.7
0,5,4386.31,1170.16,4386.57,1163.04
0,5,4388.4,1169.99,4388.64,1163.36
